Tourist Attraction,Restaurant Name,Restaurant Link,Address,Restaurant Website,Hotline,Email,Ranking,Opening and Closing hours,Rating,Food Rating,Service Rating,Value Rating,Atmosphere Rating,Reviewers,Description,Min Price,Max Price,Cuisines,Meal,Special Diets,Features,Image URL
Hải Phòng,AAA BỒ ĐỀ CHAY,https://www.tripadvisor.com/Restaurant_Review-g303944-d25567136-Reviews-AAA_B_D_CHAY-Hai_Phong.html,"258 HOÀNG MINH THẢO QUẬN LÊ CHÂN, Hai Phong 04714 Vietnam",nan,+84 93 666 16 92,vegebodhi@gmail.com,#88 of 257 Restaurants in Hai Phong,nan,5.0,nan,nan,nan,nan,2 reviews,nan,nan,nan,nan,"Lunch, Dinner",nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/6d/4e/93/caption.jpg?w=900&h=500&s=1
Hải Phòng,Sunshine Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d25167288-Reviews-Sunshine_Restaurant-Cat_Ba_Hai_Phong.html,"N0. 38 Núi Ngoc Street, Hai Phong, Cat Ba 180000 Vietnam",nan,nan,nan,#44 of 67 Restaurants in Cat Ba,"Sun: 7:00 AM - 11:00 PM, Mon: 7:00 AM - 11:00 PM, Tue: 7:00 AM - 11:00 PM, Wed: 7:00 AM - 11:00 PM, Thu: 7:00 AM - 11:00 PM, Fri: 7:00 AM - 11:00 PM, Sat: 7:00 AM - 11:00 PM",4.0,nan,nan,nan,nan,4 reviews,"We are services: Local food, seafood, traiditional food, healthy food, specially vegie food. We are staying in center of Cat Ba Town.",nan,nan,nan,"Breakfast, Lunch, Dinner",nan,"Buffet, Seating, Street Parking, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/1d/fe/3a/caption.jpg?w=600&h=300&s=1
Hải Phòng,Guzzle Pub,https://www.tripadvisor.com/Restaurant_Review-g303944-d19268138-Reviews-Guzzle_Pub-Hai_Phong.html,"62 Street 5 Waterfront Urban Area, Cau Rao 2 Bridge, Le Chan District, Hai Phong 180000 Vietnam",nan,+84 867781889,nan,#10 of 16 Bars & Pubs in Hai Phong,"Sun: 8:00 AM - 12:00 AM, Mon: 8:00 AM - 12:00 AM, Tue: 8:00 AM - 12:00 AM, Wed: 8:00 AM - 12:00 AM, Thu: 8:00 AM - 12:00 AM, Fri: 8:00 AM - 12:00 AM, Sat: 8:00 AM - 12:00 AM",5.0,nan,nan,nan,nan,1 review,Guzzle is a classic pub with the fusion between cool and vintage style where talented and professional bartenders make the finest cocktails in town. This is the perfect place for your experience but cannot be found anywhere else in Hai Phong city.,0.0,6.0,nan,"Breakfast, Lunch, Dinner",nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/23/11/0e/guzzle-pub.jpg?w=900&h=500&s=1
Hải Phòng,Hoi Lake Restaurant,https://www.tripadvisor.com/Restaurant_Review-g303944-d25229110-Reviews-Hoi_Lake_Restaurant-Hai_Phong.html,"Khu Du Lịch Sinh Thái Vườn Quốc Gia cát Bà, Hai Phong 180000 Vietnam",nan,+84 91 476 63 33,lequanghung0608@gmail.com,#123 of 257 Restaurants in Hai Phong,"Sun: 8:00 AM - 9:00 PM, Mon: 8:00 AM - 9:00 PM, Tue: 8:00 AM - 9:00 PM, Wed: 8:00 AM - 9:00 PM, Thu: 8:00 AM - 9:00 PM, Fri: 8:00 AM - 9:00 PM, Sat: 8:00 AM - 9:00 PM",5.0,nan,nan,nan,nan,1 review,"Nhà hàng kiểu á, nhà hàng kiểu âu,",nan,nan,nan,"Breakfast, Lunch, Dinner",nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a8/d8/cf/ng-ng-b-c-nh-d-p-hoi.jpg?w=900&h=500&s=1
Hải Phòng,Kp Yoga & Indian Vegetarian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g303944-d27834375-Reviews-Kp_Yoga_Indian_Vegetarian_Restaurant-Hai_Phong.html,"Số 4/25 Điện Biên Phủ Phường Máy Tơ, Hai Phong 180000 Vietnam",https://www.facebook.com/bepchayanvietKP/?paipv=0&eav=AfaGSeqPitY--yBDAuBLIX0BYfHGKy63ZL6F-9XsqbITwCo3LOVHhQ,+84 90 162 58 86,kawerpal12@gmail.com,#81 of 257 Restaurants in Hai Phong,"Sun: 7:00 AM - 2:00 PM5:00 PM - 10:00 PM, Mon: 7:00 AM - 2:00 PM5:00 PM - 10:00 PM, Tue: 7:00 AM - 2:00 PM5:00 PM - 10:00 PM, Wed: 7:00 AM - 2:00 PM5:00 PM - 10:00 PM, Thu: 7:00 AM - 2:00 PM5:00 PM - 10:00 PM, Fri: 7:00 AM - 2:00 PM5:00 PM - 10:00 PM, Sat: 7:00 AM - 2:00 PM5:00 PM - 10:00 PM",5.0,nan,nan,nan,nan,2 reviews,nan,nan,nan,nan,"Breakfast, Lunch, Dinner",nan,"Delivery, Free off-street parking, Free Wifi, Table Service, Family style",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/6a/2f/7e/kp-yoga-indian-vegetarian.jpg?w=900&h=500&s=1
Hải Phòng,Nhà Hàng Nổi Hưng Mạnh 559,https://www.tripadvisor.com/Restaurant_Review-g737051-d4441427-Reviews-Nha_Hang_N_i_Hung_M_nh_559-Cat_Ba_Hai_Phong.html,"Vịnh, Lan Hạ, Hai Phong, Cat Ba Vietnam",https://www.facebook.com/hungmanh559/,+84 97 933 35 59,nan,#54 of 67 Restaurants in Cat Ba,nan,2.5,nan,nan,nan,nan,7 reviews,"Warm space, luxury, reasonable prices, good service. Thank you",1.0,20.0,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/92/77/69/getlstd-property-photo.jpg?w=900&h=500&s=1
Hải Phòng,Philipper Cafe - Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d17885922-Reviews-Philipper_Cafe_Restaurant-Cat_Ba_Hai_Phong.html,"Số 219, Đường 1/4, Hai Phong, Cat Ba 187310 Vietnam",https://www.facebook.com/philipperbarandcafe.seapearlhotel/,+84 93 661 53 21,seapearlhotel@gmail.com,#51 of 67 Restaurants in Cat Ba,nan,3.5,nan,nan,nan,nan,3 reviews,"The pride of the green architecture of the future, the Phillipers Bar is designed with wood and green tree - the perfect place to enjoy the drinks with family and views of Cat Ba Bay.",1.0,33.0,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/b0/8c/74/getlstd-property-photo.jpg?w=900&h=500&s=1
Hải Phòng,Marukame Udon - Vincom Imperia,https://www.tripadvisor.com/Restaurant_Review-g303944-d20171624-Reviews-Marukame_Udon_Vincom_Imperia-Hai_Phong.html,"3rd floor, 1 Bach Dang Vincom Imperia, Unit 05.06.07, Hai Phong 180000 Vietnam",https://www.facebook.com/MarukameUdonVN.VincomImperia/,+84 225 7300 798,nan,#129 of 257 Restaurants in Hai Phong,nan,5.0,nan,nan,nan,nan,1 review,A well-known & prospering Japanese Franchise Open-Kitchen Restaurant Chain; first set up & opened in Vietnam in January 2014.,1.0,6.0,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f4/d0/c7/getlstd-property-photo.jpg?w=700&h=400&s=1
Hải Phòng,Quan An Ngon 3 Mien,https://www.tripadvisor.com/Restaurant_Review-g303944-d8493261-Reviews-Quan_An_Ngon_3_Mien-Hai_Phong.html,"40A Tran Quang Khai Hong Bang, Hai Phong Vietnam",https://www.facebook.com/Quananngon3mienhp,+84 31 3569 282,nan,#138 of 257 Restaurants in Hai Phong,nan,3.5,nan,nan,nan,nan,13 reviews,nan,nan,nan,nan,nan,nan,Reservations,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/8f/95/72/quan-an-ngon.jpg?w=900&h=500&s=1
Hải Phòng,Aqua Bar,https://www.tripadvisor.com/Restaurant_Review-g303944-d17667204-Reviews-Aqua_Bar-Hai_Phong.html,"Ha Noi Street 5th Floor, Vinpearl Hotel Imperia Hai Phong, Thuong Ly Ward, Hai Phong 180000 Vietnam",https://www.vinpearl.com/hotel-imperia-hai-phong/restaurants-bars-2/,+84 255 3266 888,nan,#11 of 16 Bars & Pubs in Hai Phong,nan,5.0,nan,nan,nan,nan,1 review,nan,2.0,4.0,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/13/24/2d/getlstd-property-photo.jpg?w=900&h=500&s=1
Hải Phòng,Sunflower Garden Restaurant (Sunflower Int'l Village),https://www.tripadvisor.com/Restaurant_Review-g303944-d21237785-Reviews-Sunflower_Garden_Restaurant_Sunflower_Int_l_Village-Hai_Phong.html,"35A Van Cao street, Dang Giang ward, Ngo Quyen district, Hai Phong Vietnam",http://sunflower.com.vn,+84 225 3892 000,myhanh@sunflower.com.vn,#133 of 257 Restaurants in Hai Phong,"Sun: 6:00 AM - 10:00 PM, Mon: 6:00 AM - 10:00 PM, Tue: 6:00 AM - 10:00 PM, Wed: 6:00 AM - 10:00 PM, Thu: 6:00 AM - 10:00 PM, Fri: 6:00 AM - 10:00 PM, Sat: 6:00 AM - 10:00 PM",4.0,nan,nan,nan,nan,2 reviews,"You wish to discover a fresh cultural speciality or a traditional cuisine Sunflower Garden Restaurant is always your best-kept culinary secrets. The finest selections of various world-famous cuisines, from Korea to Japan, from Vietnam to China, even Western, cooked by professional chefs, served by elegant staffs in a warm atmosphere without any doubt please your palace impressively. Welcome to Sunflower Garden Restaurant!",nan,nan,nan,"Breakfast, Lunch, Dinner, Brunch, Drinks",nan,"Reservations, Outdoor Seating, Buffet, Private Dining, Seating, Parking Available, Valet Parking, Television, Highchairs Available, Wine and Beer, Free Wifi, Accepts Credit Cards, BYOB, Family style, Non-smoking restaurants",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/d9/85/25/sunflower-int-l-village.jpg?w=900&h=-1&s=1
Hải Phòng,Dai Thong Restaurant,https://www.tripadvisor.com/Restaurant_Review-g303944-d26659782-Reviews-Dai_Thong_Restaurant-Hai_Phong.html,"19 Le Dai Hanh Minh Khai, Hong Bang, Hai Phong 18000 Vietnam",https://nhahangdaithong.com/,+84 89 919 91 19,austin.mixsg@gmail.com,#115 of 257 Restaurants in Hai Phong,"Sun: 8:00 AM - 10:00 PM, Mon: 8:00 AM - 10:00 PM, Tue: 8:00 AM - 10:00 PM, Wed: 8:00 AM - 10:00 PM, Thu: 8:00 AM - 10:00 PM, Fri: 8:00 AM - 10:00 PM, Sat: 8:00 AM - 10:00 PM",5.0,nan,nan,nan,nan,1 review,"Dai Thong Vietnamese Restaurant in Hai Phong is a charming and inviting establishment that offers a truly authentic Vietnamese dining experience. Situated in the heart of Hai Phong, this restaurant is a favorite among locals and tourists alike. As you step inside, you are immediately greeted by an elegant and warm atmosphere. The décor combines traditional elements with a modern touch, creating a unique and comfortable setting for guests to relax and enjoy their meal. The soft lighting and tasteful furnishings create an intimate ambiance that is perfect for a romantic dinner or a gathering with friends and family.",nan,nan,nan,"Lunch, Dinner",nan,"Delivery, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/6f/7c/8e/d-i-th-ng-restaurant.jpg?w=900&h=500&s=1
Hải Phòng,Nha Hang Quang Minh,https://www.tripadvisor.com/Restaurant_Review-g303944-d14891891-Reviews-Nha_Hang_Quang_Minh-Hai_Phong.html,"26 Tran Hung Dao Hoang Van Thu Ward, Hong Bang District, Hai Phong Vietnam",nan,+84 225 3823 064,nan,#177 of 257 Restaurants in Hai Phong,nan,1.0,nan,nan,nan,nan,1 review,nan,nan,nan,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e3/b0/89/the-bill.jpg?w=900&h=500&s=1
Hải Phòng,Hokkaido,https://www.tripadvisor.com/Restaurant_Review-g303944-d20351256-Reviews-Hokkaido-Hai_Phong.html,"3/70 Van Cao, Hai Phong Vietnam",https://www.facebook.com/Hokkaido-Hp-723983808033843/,+84 36 566 6881,nan,#139 of 257 Restaurants in Hai Phong,nan,5.0,nan,nan,nan,nan,1 review,nan,nan,nan,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/34/a9/ac/hokkaido.jpg?w=900&h=-1&s=1
Hải Phòng,Nha Hang San Gong,https://www.tripadvisor.com/Restaurant_Review-g303944-d11826006-Reviews-Nha_Hang_San_Gong-Hai_Phong.html,"112 Van Cao, Hai Phong Vietnam",https://www.facebook.com/NHAHANGSANGONG.99/,+84 31 6260 007,nan,#157 of 257 Restaurants in Hai Phong,nan,5.0,nan,nan,nan,nan,1 review,nan,nan,nan,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/53/ec/f2/chicken-steak-with-cheese.jpg?w=900&h=500&s=1
Hải Phòng,Ngu Truong - Vincom,https://www.tripadvisor.com/Restaurant_Review-g303944-d20031444-Reviews-Ngu_Truong_Vincom-Hai_Phong.html,"Level 3, No 1 Bach Đang Vincom Plaza Imperia, Hai Phong 180000 Vietnam",https://hutong.com.vn/,+(84)389839719,nan,#159 of 257 Restaurants in Hai Phong,nan,4.0,nan,nan,nan,nan,1 review,"Especially when coming to Ngu Truong, you will choose the fresh fish swimming freely to enjoy at the root price. In Ngu Truong, there are a variety of seafood from imported to inland, from saltwater seafood to freshwater, all of which are available in Ngu Truong",7.0,16.0,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c4/3b/54/getlstd-property-photo.jpg?w=900&h=500&s=1
Hải Phòng,Hồng Quế 1 Beer & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g303944-d25188674-Reviews-H_ng_Qu_1_Beer_Restaurant-Hai_Phong.html,"164B đường 1/4 thị trấn Cát Bà, Hai Phong 05406 Vietnam",https://www.facebook.com/profile.php?id=100063521202349,+84 386 178 207,nan,#124 of 257 Restaurants in Hai Phong,"Sun: 8:30 AM - 1:00 AM, Mon: 8:30 AM - 12:00 AM, Tue: 8:30 AM - 12:00 AM, Wed: 8:30 AM - 12:00 AM, Thu: 8:30 AM - 1:00 AM, Fri: 8:30 AM - 1:00 AM, Sat: 8:30 AM - 1:00 AM",5.0,nan,nan,nan,nan,1 review,"Welcome to Hồng Quế Beer & Restaurant. We are Hai Phong beer dealer in Cat Ba and this is a local beer. If you have come to this romantic island, you shouldn't miss the opportunity to enjoy local beer and street food here. We have two branches, one is located at 164B - 1/4 street. The other branch is opposite branch 1 (in this branch, we have outdoor sea view). Let's come & enjoy with us Chào mừng bạn đến với Nhà Hàng Hồng Quế. Chúng tôi có đầy đủ các món Hải Sản - Lẩu - Nướng - Cơm bình dân để phục vụ Quý khách",nan,nan,nan,"Breakfast, Lunch, Dinner",nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/47/55/bb/caption.jpg?w=900&h=-1&s=1
Hải Phòng,Banh Mi Tam Restaurant,https://www.tripadvisor.com/Restaurant_Review-g303944-d11747182-Reviews-Banh_Mi_Tam_Restaurant-Hai_Phong.html,"26A Tran Hung Street Hoang Van Thu Ward, Hong Bang District, Hai Phong Vietnam",http://www.facebook.com/nhahangbanhmiTam/,+84 3138222270,nhahangbanhmitam@gmail.com,#97 of 257 Restaurants in Hai Phong,"Sun: 5:00 AM - 11:30 PM, Mon: 5:00 AM - 11:30 PM, Tue: 5:00 AM - 11:30 PM, Wed: 5:00 AM - 11:30 PM, Thu: 5:00 AM - 11:30 PM, Fri: 5:00 AM - 11:30 PM, Sat: 5:00 AM - 11:30 PM",4.0,nan,nan,nan,nan,5 reviews,nan,nan,nan,nan,"Breakfast, Lunch, Dinner",nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/94/8c/31/tr-ng-p-let-th-p-c-m.jpg?w=900&h=500&s=1
Hải Phòng,K-Pub Hai Phong,https://www.tripadvisor.com/Restaurant_Review-g303944-d15097231-Reviews-K_Pub_Hai_Phong-Hai_Phong.html,"01 Le Thanh Tong L4 08-09, 4th Floor, Vincom Hai Phong, Hai Phong 180000 Vietnam",http://kpub.com.vn/vi/,+84 225 2299 866,support.hn@ggg.com.vn,#131 of 257 Restaurants in Hai Phong,nan,5.0,nan,nan,nan,nan,1 review,nan,2.0,20.0,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/7e/c1/c1/getlstd-property-photo.jpg?w=900&h=-1&s=1
Hải Phòng,Phi Nhung Quan,https://www.tripadvisor.com/Restaurant_Review-g737051-d25089561-Reviews-Phi_Nhung_Quan-Cat_Ba_Hai_Phong.html,"So 2 Cang Ca, Hai Phong, Cat Ba Vietnam",nan,nan,nan,#48 of 67 Restaurants in Cat Ba,nan,3.5,nan,nan,nan,nan,3 reviews,nan,nan,nan,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/01/b1/97/caption.jpg?w=900&h=500&s=1
Hải Phòng,Wormmm! Home Bar Classic,https://www.tripadvisor.com/Restaurant_Review-g303944-d26361477-Reviews-Wormmm_Home_Bar_Classic-Hai_Phong.html,"78 Đ. Dân Lập, Dư Hàng Kênh, Lê Chân, Hai Phong Vietnam",nan,+84 772 353 323,nan,#12 of 16 Bars & Pubs in Hai Phong,"Sun: 6:00 PM - 2:00 AM, Mon: 6:00 PM - 2:00 AM, Tue: 6:00 PM - 2:00 AM, Wed: 6:00 PM - 2:00 AM, Thu: 6:00 PM - 2:00 AM, Fri: 6:00 PM - 2:00 AM, Sat: 6:00 PM - 2:00 AM",4.0,nan,nan,nan,nan,1 review,nan,nan,nan,nan,"Dinner, Brunch, Late Night, Drinks",nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/cb/0f/bb/caption.jpg?w=800&h=400&s=1
Hải Phòng,Pho Bo Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g737051-d13943432-Reviews-Pho_Bo_Nam_Dinh-Cat_Ba_Hai_Phong.html,"52 Nui Ngoc, Hai Phong, Cat Ba 180000 Vietnam",nan,+84 97 858 95 30,nan,#50 of 67 Restaurants in Cat Ba,nan,3.0,nan,nan,nan,nan,10 reviews,nan,nan,nan,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/a3/67/68/photo0jpg.jpg?w=900&h=500&s=1
Hải Phòng,Le 84 Bistro,https://www.tripadvisor.com/Restaurant_Review-g303944-d25389036-Reviews-Le_84_Bistro-Hai_Phong.html,"Hoang The Thien 84, Hai Phong Vietnam",https://www.facebook.com/le84bistro,+84 91 798 05 68,sanji.nguyen.1991@gmail.com,#121 of 257 Restaurants in Hai Phong,"Sun: 7:30 AM - 11:00 PM, Mon: 7:30 AM - 11:00 PM, Tue: 7:30 AM - 11:00 PM, Wed: 7:30 AM - 11:00 PM, Thu: 7:30 AM - 11:00 PM, Fri: 7:30 AM - 12:00 AM, Sat: 7:30 AM - 12:00 AM",5.0,nan,nan,nan,nan,1 review,"On the pursuit of bringing a new wind to Hai Phong’s nightlife, we are founded with a mission of",nan,nan,nan,"Breakfast, Lunch, Dinner, Brunch",nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/03/d0/54/caption.jpg?w=900&h=500&s=1
Hải Phòng,Nha Hang Phu Dong,https://www.tripadvisor.com/Restaurant_Review-g737051-d19365111-Reviews-Nha_Hang_Phu_Dong-Cat_Ba_Hai_Phong.html,"48 Ha Sen, Hai Phong, Cat Ba 180000 Vietnam",https://www.facebook.com/phudongcatba/,+84 98 207 88 36,nan,nan,"Sun: 9:00 AM - 10:00 PM, Mon: 9:00 AM - 10:00 PM, Tue: 9:00 AM - 10:00 PM, Wed: 9:00 AM - 10:00 PM, Thu: 9:00 AM - 10:00 PM, Fri: 9:00 AM - 10:00 PM, Sat: 9:00 AM - 10:00 PM",nan,nan,nan,nan,nan,nan,"Phu Dong Cat Ba Restaurant is known by many local customers and tourists as a delicious and cheap restaurant, located in the center of Cat Ba town, a restaurant specializing in lunches and specials we have buffet with over 60 attractive prices only 139k for 1 guest everyday from 6pm to 10 pm, in addition the restaurant also specializes in wedding conferences, restaurants with separate dining room",2.0,100.0,nan,"Breakfast, Lunch, Dinner",nan,"Buffet, Parking Available, Street Parking, Television, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi, BYOB, Family style",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/02/5b/cf/nha-hang-phu-d-ng-48.jpg?w=900&h=-1&s=1
Hải Phòng,Banh cuon Ba Bay,https://www.tripadvisor.com/Restaurant_Review-g303944-d10712000-Reviews-Banh_cuon_Ba_Bay-Hai_Phong.html,"66 Cat Cut street, Le Chan district, Hai Phong 180000 Vietnam",nan,nan,nan,#127 of 257 Restaurants in Hai Phong,nan,4.5,nan,nan,nan,nan,3 reviews,nan,nan,nan,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/50/69/24/where.jpg?w=800&h=-1&s=1
Hải Phòng,Vang Khe Hai Phong,https://www.tripadvisor.com/Restaurant_Review-g303944-d15101071-Reviews-Vang_Khe_Hai_Phong-Hai_Phong.html,"01 Le Thanh Tong May To, Ngo Quyen, Hai Phong 180000 Vietnam",https://www.facebook.com/VangKheHaiPhong/,+84 868 606 204,vangkhequan@gmail.com,#128 of 257 Restaurants in Hai Phong,nan,4.5,nan,nan,nan,nan,2 reviews,"Vang Khe is fast food cafeteria, we serve fast food, fresh drink, hotpot and grill",0.0,8.0,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/c9/3a/4f/vang-khe-hai-phong.jpg?w=900&h=500&s=1
Hải Phòng,Yolo Beer Club,https://www.tripadvisor.com/Restaurant_Review-g303944-d8780384-Reviews-Yolo_Beer_Club-Hai_Phong.html,"10 9, Le Hong Phong Street, Hai Phong 35000 Vietnam",https://www.facebook.com/Yolo-Beer-Club-748130761983450/timeline,+84 199 988 9989,nan,#148 of 257 Restaurants in Hai Phong,nan,3.5,nan,nan,nan,nan,11 reviews,nan,nan,nan,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/b4/22/c2/ta-img-20160622-190553.jpg?w=800&h=500&s=1
Hải Phòng,Hanako,https://www.tripadvisor.com/Restaurant_Review-g303944-d13280120-Reviews-Hanako-Hai_Phong.html,"3I Ly Tu Trong, Hai Phong Vietnam",https://www.facebook.com/Hanako-Nh%C3%A0-H%C3%A0ng-Nh%E1%BA%ADt-B%E1%BA%A3n-282531462159576/,+84 92 616 16 16,nan,#142 of 257 Restaurants in Hai Phong,nan,5.0,nan,nan,nan,nan,2 reviews,nan,nan,nan,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/98/ed/24/delicious-lunch.jpg?w=900&h=-1&s=1
Hải Phòng,Lao Ngu,https://www.tripadvisor.com/Restaurant_Review-g303944-d20031382-Reviews-Lao_Ngu-Hai_Phong.html,"123 Dien Bien Phu Hong Bang, Hai Phong 180000 Vietnam",https://www.facebook.com/LaoNgurestaurant/,+84 97 192 75 73,nan,#145 of 257 Restaurants in Hai Phong,nan,3.5,nan,nan,nan,nan,3 reviews,"Lao Ngu - fresh seafood restaurant with the most unique design: Designing two large ships stretching in the middle of the sea, customers can enjoy the food while watching the fresh fish swimming around the sides of the boat. Luxurious vip room system with exquisite and class design. Lao Ngu has a variety of seafood from imported to inland, from saltwater seafood to freshwater",7.0,16.0,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/eb/04/d6/th-c-don-ngon-mi-ng.jpg?w=900&h=500&s=1
Hải Phòng,Truc Lam Restaurant,https://www.tripadvisor.com/Restaurant_Review-g303944-d8621828-Reviews-Truc_Lam_Restaurant-Hai_Phong.html,"No 3 Pham Ba Truc Street Hong Bang District, Hai Phong 35000 Vietnam",http://www.truclamquan.vn/,+84 31 3733 833,truclamrestauranthp@gmail.com,#166 of 257 Restaurants in Hai Phong,"Sun: 8:00 AM - 10:00 PM, Mon: 9:00 AM - 10:00 PM, Tue: 9:00 AM - 10:00 PM, Wed: 9:00 AM - 10:00 PM, Thu: 9:00 AM - 10:00 PM, Fri: 9:00 AM - 10:00 PM, Sat: 9:00 AM - 10:00 PM",3.0,nan,nan,nan,nan,5 reviews,nan,0.0,1.0,nan,"Breakfast, Lunch, Dinner",Vegetarian friendly,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c3/3d/cf/crab-hot-pot.jpg?w=900&h=500&s=1
Hải Phòng,Bac Viet Coffee,https://www.tripadvisor.com/Restaurant_Review-g303944-d16850078-Reviews-Bac_Viet_Coffee-Hai_Phong.html,"9A Tran Quang Khai Hoang Van Thu, Hong Bang, Hai Phong 180000 Vietnam",nan,+84 93 435 04 88,nan,#120 of 257 Restaurants in Hai Phong,nan,4.0,nan,nan,nan,nan,3 reviews,nan,nan,nan,nan,nan,nan,nan,nan
Hải Phòng,Lau Ech Dai Phong,https://www.tripadvisor.com/Restaurant_Review-g303944-d13946808-Reviews-Lau_Ech_Dai_Phong-Hai_Phong.html,"24 Le Hong Phong, Hai Phong 180000 Vietnam",https://www.facebook.com/L%E1%BA%A8U-%E1%BA%BECH-%C4%90%E1%BA%A0I-PHONG-L%C3%B4-24-L%C3%AA-H%E1%BB%93ng-Phong-1031741063577695/,+84 93 631 33 40,nan,#112 of 257 Restaurants in Hai Phong,"Sun: 10:00 AM - 10:00 PM, Mon: 10:00 AM - 10:00 PM, Tue: 10:00 AM - 10:00 PM, Wed: 10:00 AM - 10:00 PM, Thu: 10:00 AM - 10:00 PM, Fri: 10:00 AM - 10:00 PM, Sat: 10:00 AM - 10:00 PM",5.0,nan,nan,nan,nan,2 reviews,nan,nan,nan,nan,"Lunch, Dinner",nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/ba/dc/90/img-20191018-194901-largejpg.jpg?w=900&h=500&s=1
Hải Phòng,Chicago Grill,https://www.tripadvisor.com/Restaurant_Review-g303944-d13958077-Reviews-Chicago_Grill-Hai_Phong.html,"18 Luong Khanh Thien, Hai Phong 180000 Vietnam",nan,+84 225 3250 333,nan,#164 of 257 Restaurants in Hai Phong,nan,4.0,nan,nan,nan,nan,1 review,"Chicago Grill specializes in European dishes such as professional Pizza - Steak - Pasta - Ribs, and attentive service. You will enjoy the cuisine of Chicago's American cuisine",4.0,40.0,nan,nan,nan,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/82/b7/03/getlstd-property-photo.jpg?w=900&h=500&s=1
